id;phrase;url_picture
0;whats up i am with friends thats cool just small gettogether yeah yeah;https://farm6.staticflickr.com/3789/8804001147_d92eb75fff_o.jpg
1;hi there hello hi so i got a chance to see my sister get married nice how was the wedding she had a beautiful wedding the best part was the cake sounds good what type of cake was it it had white fondant and was three separate round cakes it was garnished with beautiful flowers sounds tasty how was the ceremony let me see if i can share the photo of the table with the cake;https://farm7.staticflickr.com/1198/869496755_25e16979f7_o.jpg
2;what you been up too i am looking at old pictures oh anything interesting found my uncle kairo in a pciture he is partly clear oh i dont think ive met him there is another attractive lady who is very clear;https://c8.staticflickr.com/4/3788/10868708584_7b931877a0_o.jpg
3;what are you doing i am enjoying a nice cocktail right now how about you find nice i have had one too many however and my face is starting to droop haha oh if someone put a microphone in front of me i might say something silly;https://c3.staticflickr.com/3/2773/4378396785_88708c4986_o.jpg
4;hi friend how are you doing this evening hello friend hey hows it going going good its actually my coffee time so going to make some hot latte we missed you at happy hour last night sorry you couldnt make it can i see the picture oh nice its a little late in the day for me to drink coffee yeah hold on ohh ok still trying to find the picture its too bad you werent there it was a good time i cant able to come to the happy hour if iam their means i can enjoy with friends;https://farm5.staticflickr.com/3241/2928579634_14c86c18dc_o.jpg
5;hii i bought a new chain long time no see oh really yaaa silver chain you have like that did you get it on sale or just treating yourself no its my moms gift that sounds awesome your mom is the best our job is fishing so that we wrote ship in that chain;https://c5.staticflickr.com/3/2202/2057617057_ecc0e2a4b6_o.jpg
6;how arew you i am good full we had a snack party today y good we had different kinds of snacks and finger foods do you ever have parties like that yes its always nice to get together with family and friends and have a good time good;https://c1.staticflickr.com/3/2757/4271559850_42866dd55c_o.jpg
7;have been to the farm today and i caught a carpenter bee a very lovely creature oh nicedid you get stung i hope not;https://farm7.staticflickr.com/3356/3447042611_b70599b3fb_o.jpg
8;hi how are you i m fine whats about you im doing great and im hiking today near a beach o wow must be so much fun its a lot of fun the view is beautiful how was the weather there its sunny and very nice i encountered a beautiful bird amazing its a chukar bird as you can see in the photo;https://farm3.staticflickr.com/3379/3519278475_87928a192e_o.jpg
9;did you do anything fun today i see the cat the cat looking to cross the gate i love cats what color is the cat its cute its mixed color that is so neat like yellow block white so cute i would love to see this cat but i cant how to sent the picture to you the cat was small thats okay it was nice chatting with you;https://c7.staticflickr.com/3/2138/2408839985_fb95271c6a_o.jpg
10;how are you doing today what are you up to good just chillin good im doing the same just came back from camping its really hot out here lately yeah its been hot here too how was camping it was great i went with a few friends stopped in some random places just outside of town you want to see a picture we took while we were out cool definitely;https://c3.staticflickr.com/6/5704/21104859599_b20cb33cda_o.jpg
11;i just got a dog today its a french brittany spaniel wow lucky you it looks really cute and strong;https://c5.staticflickr.com/8/7605/16340958894_9ca22276df_o.jpg
